Genes	Sample	Replicate	Expression
CHAC1	Sample1	1	49
CHAC1	Sample1	2	11
CHAC1	Sample1	3	0
CHAC1	Sample1	4	254
CHAC1	Sample1	5	11
CHAC1	Sample2	1	30
CHAC1	Sample2	2	61
CHAC1	Sample2	3	18
CHAC1	Sample2	4	0
CHAC1	Sample2	5	34
CHAC1	Sample3	1	26
CHAC1	Sample3	2	47
CHAC1	Sample3	3	0
CHAC1	Sample3	4	0
CHAC1	Sample3	5	21
CHAC1	Sample4	1	23
CHAC1	Sample4	2	50
CHAC1	Sample4	3	102
CHAC1	Sample4	4	0
CHAC1	Sample4	5	71
CHAC1	Sample5	1	0
CHAC1	Sample5	2	67
CHAC1	Sample5	3	11
CHAC1	Sample5	4	1
CHAC1	Sample5	5	59
